query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,3,1521,792,2313,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,4,1521,703,2224,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,5,1521,695,2216,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,6,1521,863,2384,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,7,1521,820,2341,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,8,1521,848,2369,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,9,1521,660,2181,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,10,1521,821,2342,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,11,1521,834,2355,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,12,1521,889,2410,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,13,1521,836,2357,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,14,1521,809,2330,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,15,1521,842,2363,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,16,1521,763,2284,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,17,1521,811,2332,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,18,1521,462,1983,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,19,1521,140,1661,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,20,1521,152,1673,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,21,1521,1400,2921,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,22,1521,1400,2921,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,23,1521,1157,2678,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,24,1521,281,1802,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,25,1521,288,1809,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,26,1521,444,1965,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,27,1521,381,1902,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,28,1521,715,2236,likely gpt-4.1-mini
